shot,shot_type
shot_0174.jpg,closeUp
shot_0128.jpg,longShot
shot_0179.jpg,ambiguous
shot_0125.jpg,fullShot
shot_0048.jpg,ambiguous
shot_0150.jpg,fullShot
shot_0086.jpg,mediumShot
shot_0154.jpg,longShot
shot_0091.jpg,fullShot
shot_0097.jpg,longShot
shot_0165.jpg,ambiguous
shot_0017.jpg,detail
shot_0163.jpg,mediumShot
shot_0046.jpg,longShot
shot_0210.jpg,closeUp
shot_0212.jpg,closeUp
shot_0016.jpg,mediumShot
shot_0191.jpg,longShot
shot_0103.jpg,ambiguous
shot_0111.jpg,mediumCloseUp
shot_0053.jpg,fullShot
shot_0090.jpg,ambiguous
shot_0189.jpg,mediumShot
shot_0139.jpg,ambiguous
shot_0202.jpg,mediumCloseUp
