frame,time,brightness,movement,correlation
1,0.0555757156526199,139.7645283564815,230400,-0.27055943179390335
2,0.1111514313052399,139.69351128472223,8,-0.27055943179390335
3,0.1667271469578598,139.33538013599536,42,-0.27055943179390335
4,0.2223028626104798,139.55512984664352,16,-0.27055943179390335
5,0.2778785782630997,138.83887152777777,0,-0.27055943179390335
6,0.3334542939157197,126.4748582175926,23,-0.27055943179390335
7,0.3890300095683396,109.0607790798611,165635,-0.27055943179390335
8,0.4446057252209596,108.64398618344909,125239,-0.27055943179390335
9,0.5001814408735795,109.77577763310184,59709,-0.27055943179390335
10,0.5557571565261995,108.75071180555555,52233,-0.27055943179390335
11,0.6113328721788195,106.45389322916668,67078,-0.27055943179390335
12,0.6669085878314394,104.45641456886574,72073,-0.27055943179390335
13,0.7224843034840593,101.15503833912037,74052,-0.27055943179390335
14,0.7780600191366793,101.64656177662036,57491,-0.27055943179390335
15,0.8336357347892993,99.33381257233796,60941,-0.27055943179390335
16,0.8892114504419192,100.29409975405092,51602,-0.27055943179390335
17,0.9447871660945392,97.90300094039353,63253,-0.27055943179390335
18,1.000362881747159,99.8888621238426,62591,-0.27055943179390335
19,1.055938597399779,99.98184027777778,63454,-0.27055943179390335
20,1.111514313052399,99.510244140625,60732,-0.27055943179390335
21,1.167090028705019,95.92115162037037,57344,-0.27055943179390335
22,1.222665744357639,93.4620359519676,66522,-0.27055943179390335
23,1.278241460010259,95.05600007233797,62570,-0.27055943179390335
24,1.3338171756628787,94.61357566550926,64668,-0.27055943179390335
25,1.3893928913154987,95.36191261574074,67508,-0.27055943179390335
26,1.444968606968119,93.52315067997684,68989,-0.27055943179390335
27,1.500544322620739,94.24011646412038,74233,-0.27055943179390335
28,1.5561200382733589,90.96277054398148,50040,-0.27055943179390335
29,1.6116957539259786,91.7330617042824,61919,-0.27055943179390335
30,1.6672714695785986,99.52819733796296,65912,-0.27055943179390335
31,1.7228471852312184,103.18477828414352,58303,-0.27055943179390335
32,1.7784229008838384,100.48599175347222,62316,-0.27055943179390335
33,1.8339986165364583,106.88841796875,70522,-0.27055943179390335
34,1.8895743321890783,107.23582754629628,64258,-0.27055943179390335
35,1.9451500478416983,107.5317115162037,61372,-0.27055943179390335
36,2.000725763494318,105.16822084780092,60006,-0.27055943179390335
37,2.056301479146938,104.84644856770834,59384,-0.27055943179390335
38,2.111877194799558,99.82627604166667,57047,-0.27055943179390335
39,2.167452910452178,96.76393120659722,66800,-0.27055943179390335
40,2.223028626104798,92.5063914207176,84759,-0.27055943179390335
41,2.278604341757418,85.01026765046296,91253,-0.27055943179390335
42,2.334180057410038,88.48666666666666,104779,-0.27055943179390335
43,2.389755773062658,87.72041702835648,103912,-0.27055943179390335
44,2.445331488715278,89.62706416377314,99085,-0.27055943179390335
45,2.500907204367898,93.72534035011574,98193,-0.27055943179390335
46,2.556482920020518,94.69210828993056,85760,-0.27055943179390335
47,2.612058635673138,93.54841362847222,71402,-0.27055943179390335
48,2.667634351325757,96.0556759982639,61774,-0.27055943179390335
49,2.7232100669783774,97.75810872395832,59882,-0.27055943179390335
50,2.7787857826309974,97.51060546875,62034,-0.27055943179390335
51,2.8343614982836174,89.74313802083333,64092,-0.27055943179390335
52,2.8899372139362374,94.13646375868056,74428,-0.27055943179390335
53,2.9455129295888574,95.51595413773148,74269,-0.27055943179390335
54,3.0010886452414773,95.53035337094909,69950,-0.27055943179390335
55,3.0566643608940973,93.30083767361111,73588,-0.27055943179390335
56,3.1122400765467173,95.80032154224536,68699,-0.27055943179390335
57,3.1678157921993373,89.08912543402778,67491,-0.27055943179390335
58,3.2233915078519573,90.21746780960648,69107,-0.27055943179390335
59,3.2789672235045773,94.65734519675928,68136,-0.27055943179390335
60,3.334542939157197,93.63522533275464,62235,-0.27055943179390335
61,3.390118654809817,93.78228370949074,59871,-0.27055943179390335
62,3.4456943704624368,94.1368728298611,54930,-0.27055943179390335
63,3.5012700861150567,95.62474066840278,52032,-0.27055943179390335
64,3.5568458017676767,91.9622218605324,54940,-0.27055943179390335
65,3.6124215174202967,96.33259186921296,65319,-0.27055943179390335
66,3.6679972330729167,95.00586263020833,58557,-0.27055943179390335
67,3.7235729487255367,93.95915147569444,52744,-0.27055943179390335
68,3.7791486643781567,95.14484049479168,53454,-0.27055943179390335
69,3.8347243800307766,97.34330620659722,52071,-0.27055943179390335
70,3.8903000956833966,93.45669958043982,56875,-0.27055943179390335
71,3.9458758113360166,95.1667212818287,62729,-0.27055943179390335
72,4.001451526988636,94.27901077835648,64142,-0.27055943179390335
73,4.057027242641256,94.64362340856482,53733,-0.27055943179390335
74,4.112602958293876,94.22364040798612,53555,-0.27055943179390335
75,4.168178673946496,95.74143735532408,50795,-0.27055943179390335
76,4.223754389599116,94.10099934895834,50383,-0.27055943179390335
77,4.279330105251736,89.83107313368056,51808,-0.27055943179390335
78,4.334905820904356,93.06880714699074,61642,-0.27055943179390335
79,4.390481536556976,90.64321831597222,55147,-0.27055943179390335
80,4.446057252209596,91.57317527488426,57606,-0.27055943179390335
81,4.501632967862216,92.16855866608796,57032,-0.27055943179390335
82,4.557208683514836,92.18177119502316,56486,-0.27055943179390335
83,4.612784399167456,88.37053421585648,60171,-0.27055943179390335
84,4.668360114820076,89.39944986979167,74145,-0.27055943179390335
85,4.723935830472696,90.51219039351852,68478,-0.27055943179390335
86,4.779511546125316,88.99630533854166,64864,-0.27055943179390335
87,4.835087261777936,89.98966037326389,63168,-0.27055943179390335
88,4.890662977430556,89.01149775752314,63258,-0.27055943179390335
89,4.946238693083176,91.97373951099536,64934,-0.27055943179390335
90,5.001814408735796,81.50203233506944,61965,-0.27055943179390335
91,5.057390124388416,133.84296296296296,97409,-0.27055943179390335
92,5.112965840041036,137.91613715277776,54633,-0.27055943179390335
93,5.168541555693656,117.97548140914353,96765,-0.27055943179390335
94,5.224117271346276,104.2745240162037,117056,-0.27055943179390335
95,5.279692986998895,103.4170189525463,117432,-0.27055943179390335
96,5.335268702651515,101.91255316840278,119277,-0.27055943179390335
97,5.390844418304135,104.17262442129628,120339,-0.27055943179390335
98,5.446420133956755,109.65069950810184,121024,-0.27055943179390335
99,5.501995849609375,111.19933666087962,123544,-0.27055943179390335
100,5.557571565261995,112.04569697627316,121884,-0.27055943179390335
101,5.613147280914615,113.3946629050926,120797,-0.27055943179390335
102,5.668722996567235,112.67019386574074,119684,-0.27055943179390335
103,5.724298712219855,112.72176106770831,116289,-0.27055943179390335
104,5.779874427872475,110.6279177517361,114114,-0.27055943179390335
105,5.835450143525095,108.4941062644676,110818,-0.27055943179390335
106,5.891025859177715,108.59698603877315,114245,-0.27055943179390335
