frame,time,brightness,movement,correlation
1,0.0417780568157269,53.87560980902778,230400,0.8087312397929634
2,0.0835561136314538,65.3166796875,121405,0.8087312397929634
3,0.1253341704471808,59.9370728443287,86622,0.8087312397929634
4,0.1671122272629077,66.13840530960648,54288,0.8087312397929634
5,0.2088902840786347,73.50881872106481,60515,0.8087312397929634
6,0.2506683408943616,77.0035228587963,63893,0.8087312397929634
7,0.2924463977100885,77.53609411168982,55019,0.8087312397929634
8,0.3342244545258155,72.89423249421296,38063,0.8087312397929634
9,0.3760025113415424,74.54644929108797,37063,0.8087312397929634
10,0.4177805681572694,73.53069986979166,25703,0.8087312397929634
11,0.4595586249729963,74.11619683159722,12108,0.8087312397929634
12,0.5013366817887233,74.58804000289352,10805,0.8087312397929634
13,0.5431147386044501,73.85515625,14710,0.8087312397929634
14,0.5848927954201771,75.02591833043981,21257,0.8087312397929634
15,0.626670852235904,71.46483543113426,32695,0.8087312397929634
16,0.668448909051631,69.83191514756945,31687,0.8087312397929634
17,0.7102269658673579,67.5439869068287,37049,0.8087312397929634
18,0.7520050226830849,67.26326822916667,38861,0.8087312397929634
19,0.7937830794988118,66.10047200520833,39214,0.8087312397929634
20,0.8355611363145388,65.84250180844907,37918,0.8087312397929634
21,0.8773391931302656,65.54831199363426,41474,0.8087312397929634
22,0.9191172499459926,67.01069299768518,42359,0.8087312397929634
23,0.9608953067617196,66.46196759259259,41347,0.8087312397929634
24,1.0026733635774463,68.28987919560186,37350,0.8087312397929634
25,1.0444514203931734,70.97189814814814,40739,0.8087312397929634
26,1.0862294772089005,72.01139684606481,42566,0.8087312397929634
27,1.1280075340246274,73.55932798032407,40920,0.8087312397929634
28,1.1697855908403545,71.21209526909722,40793,0.8087312397929634
29,1.2115636476560812,66.77349790219907,38505,0.8087312397929634
30,1.253341704471808,65.89237196180555,31563,0.8087312397929634
31,1.2951197612875351,64.94314019097222,37081,0.8087312397929634
32,1.336897818103262,64.02876374421297,37682,0.8087312397929634
33,1.378675874918989,68.80663917824074,33423,0.8087312397929634
34,1.4204539317347158,68.27412651909722,35062,0.8087312397929634
35,1.462231988550443,66.09899956597222,33320,0.8087312397929634
36,1.5040100453661698,67.24869429976852,31131,0.8087312397929634
37,1.5457881021818969,67.98734772858796,31369,0.8087312397929634
38,1.5875661589976235,68.83921440972222,26549,0.8087312397929634
39,1.6293442158133506,71.84366681134259,30213,0.8087312397929634
40,1.6711222726290775,74.7383640769676,31932,0.8087312397929634
