start,end,mid,start_t,end_t
10350,10450,10400,575.0638959884432,580.620068896544
10451,10471,10461,580.675630625625,581.7868652072452
10475,10479,10477,582.0091121235693,582.2313590398933
10480,10608,10544,582.2869207689743,589.3988220913434
10609,10615,10612,589.4543838204245,589.7877541949105
10618,10643,10630,589.9544393821535,591.3434826091787
10644,10740,10692,591.3990443382597,596.7329703300367
10759,10892,10825,597.7886431825758,605.17835315035
10893,10927,10910,605.233914879431,607.1230136681853
10928,11041,10984,607.1785753972663,613.4570507834203
11042,11077,11059,613.5126125125014,615.4572730303366
11078,11202,11140,615.5128347594177,622.4024891654628
11204,11289,11246,622.5136126236248,627.2363595955105
11292,11345,11318,627.4030447827536,630.3478164240471
11346,11387,11366,630.4033781531281,632.6814090454494
11388,11504,11446,632.7369707745305,639.1821313479275
11512,11516,11514,639.6266251805756,639.8488720968996
11519,11672,11595,640.0155572841427,648.5165018335371
11675,11676,11675,648.68318702078,648.7387487498611
11682,11721,11701,649.0721191243471,651.2390265585065
11722,11841,11781,651.2945882875874,657.9064340482275
11849,12009,11929,658.3509278808756,667.240804533837
12018,12174,12096,667.7408600955662,676.4084898322035
12175,12215,12195,676.4640515612846,678.6865207245249
12217,12231,12224,678.7976441826869,679.575508389821
12233,12683,12458,679.6866318479831,704.6894099344371
12684,13375,13029,704.7449716635181,743.1381264584953
13376,14554,13965,743.1936881875763,808.645405045005
14555,14966,14760,808.7009667740859,831.5368374263807
14967,15226,15096,831.5923991554616,845.982886987443
15228,15806,15517,846.094010445605,878.2086898544283
15807,15820,15813,878.2642515835092,878.9865540615623
15826,16217,16021,879.3199244360484,901.0445605067229
16218,16229,16223,901.100122235804,901.711301255695
16230,16388,16309,901.766862984776,910.5456161795754
16397,16401,16399,911.0456717413045,911.2679186576286
16405,16478,16441,911.4901655739526,915.5461717968662
16480,16577,16528,915.6572952550283,921.0467829758861
16578,16583,16580,921.1023447049672,921.3801533503722
16586,16768,16677,921.5468385376153,931.6590732303589
16769,17177,16973,931.7146349594399,954.3838204244915
17178,17182,17180,954.4393821535725,954.6616290698965
17184,17550,17367,954.7727525280586,975.1083453717079
17551,18222,17886,975.163907100789,1012.445827314146
18223,18609,18416,1012.5013890432269,1033.9482164684964
18610,19412,19011,1034.0037781975775,1078.5642849205467
19413,19418,19415,1078.6198466496276,1078.8976552950328
19419,19597,19508,1078.9532170241137,1088.8432048005334
19600,19602,19601,1089.0098899877764,1089.1210134459384
19610,20312,19961,1089.5655072785864,1128.5698410934547
20313,20476,20394,1128.6254028225358,1137.6819646627403
20477,20696,20586,1137.7375263918213,1149.9055450605622
20697,21020,20858,1149.9611067896433,1167.9075452828092
21021,21179,21100,1167.96310701189,1176.7418602066896
21181,21312,21246,1176.8529836648515,1184.1315701744638
21313,21346,21329,1184.1871319035447,1186.020668963218
21349,21351,21350,1186.187354150461,1186.2984776086232
21355,21364,21359,1186.5207245249471,1187.0207800866763
21366,21736,21551,1187.1319035448382,1207.6897433048116
21737,21774,21755,1207.7453050338927,1209.80108900989
21775,22175,21975,1209.856650738971,1232.0813423713746
22176,22646,22411,1232.1369041004555,1258.2509167685298
22647,22657,22652,1258.3064784976107,1258.862095788421
22658,22670,22664,1258.9176575175018,1259.584398266474
22673,23015,22844,1259.751083453717,1278.753194799422
23016,23053,23034,1278.8087565285032,1280.8645405045004
23060,23155,23107,1281.2534726080676,1286.5318368707633
23156,23192,23174,1286.5873985998444,1288.5876208467607
23193,23532,23362,1288.6431825758416,1307.4786087343036
23533,23951,23742,1307.5341704633847,1330.7589732192464
23952,24312,24132,1330.8145349483275,1350.8167574174909
24313,24751,24532,1350.8723191465717,1375.2083564840536
24752,25327,25039,1375.2639182131347,1407.2119124347148
25329,25594,25461,1407.323035892877,1422.0468940993442
25596,25916,25756,1422.1580175575064,1439.9377708634293
25918,25919,25918,1440.0488943215912,1440.1044560506723
25921,26153,26037,1440.2155795088343,1453.1059006556284
26155,26433,26294,1453.2170241137903,1468.6631847983108
